id,shop_name,URL,rate,rocation,comment,smoking
168,ドトールコーヒーショップ 祐天寺店,https://tabelog.com/tokyo/A1317/A131701/13086928/,3.01, 祐天寺駅 113m / コーヒー専門店、喫茶店,,分煙
169,こころ,https://tabelog.com/tokyo/A1313/A131302/13172928/,3.01, 月島駅 215m / そば・うどん・麺類（その他）、定食・食堂、喫茶店,,喫煙可
170,ゆーもあ,https://tabelog.com/tokyo/A1328/A132806/13157045/,3.13, 東村山駅 109m / 喫茶店、洋食・欧風料理（その他）,,喫煙可
171,椿屋珈琲店 池袋茶寮,https://tabelog.com/tokyo/A1305/A130501/13017003/,3.29, 池袋駅 271m / 喫茶店、コーヒー専門店、ケーキ,,分煙
172,百花百兆,https://tabelog.com/tokyo/A1312/A131204/13129373/,3.19, 江戸川区 / 定食・食堂、喫茶店、洋食,,
173,新橋珈琲店,https://tabelog.com/tokyo/A1301/A130103/13048311/,3.2, 新橋駅 121m / カフェ、喫茶店、ピザ,,分煙
174,焙煎珈琲 いずみや,https://tabelog.com/tokyo/A1325/A132502/13178153/,3.04, 恋ケ窪駅 745m / 喫茶店,,
175,リオ,https://tabelog.com/tokyo/A1325/A132502/13088890/,3.08, 国分寺駅 258m / 喫茶店,,喫煙可
176,椿屋珈琲店 新橋茶寮,https://tabelog.com/tokyo/A1301/A130103/13002164/,3.29, 新橋駅 136m / 喫茶店、コーヒー専門店、ケーキ,,分煙
177,花,https://tabelog.com/tokyo/A1301/A130103/13076385/,, 新橋駅 272m / 喫茶店,,
178,中央合同庁舎第7号館　喫茶室Ⅱ,https://tabelog.com/tokyo/A1301/A130103/13108803/,3.04, 虎ノ門駅 175m / 喫茶店、社員食堂,,完全禁煙
179,喫茶キャビン,https://tabelog.com/tokyo/A1324/A132404/13183061/,, 梅島駅 242m / 喫茶店、カフェ・喫茶（その他）,,
180,スターバックスコーヒー 表参道神宮前4丁目店,https://tabelog.com/tokyo/A1306/A130602/13128935/,3.04, 表参道駅 226m / コーヒー専門店、喫茶店、カフェ,,
181,白鳥,https://tabelog.com/tokyo/A1324/A132401/13076481/,3.04, 三ノ輪橋駅 31m / 喫茶店,,喫煙可
182,エフ,https://tabelog.com/tokyo/A1324/A132401/13087437/,, 新三河島駅 114m / 喫茶店,,
183,おもちゃばこ,https://tabelog.com/tokyo/A1322/A132203/13087481/,, 大山駅 343m / 喫茶店,,
184,銀座みゆき館 銀座4丁目店,https://tabelog.com/tokyo/A1301/A130101/13031042/,3.23, 銀座駅 151m / カフェ、ケーキ、喫茶店,,分煙
185,こけし屋 本館,https://tabelog.com/tokyo/A1319/A131907/13000721/,3.52, 西荻窪駅 106m / フレンチ、喫茶店、ケーキ,,分煙
186,エリーゼ,https://tabelog.com/tokyo/A1311/A131102/13087441/,, 浅草（つくばＥＸＰ）駅 161m / 喫茶店,,
187,カフェ・フォリオ,https://tabelog.com/tokyo/A1303/A130303/13012517/,3.43, 代官山駅 162m / 喫茶店、紅茶専門店、コーヒー専門店,,喫煙可
188,バオバブ喫茶,https://tabelog.com/tokyo/A1328/A132802/13076123/,3, 東久留米市 / 喫茶店、洋食,,完全禁煙
189,野の花,https://tabelog.com/tokyo/A1301/A130101/13004106/,3.6, 銀座一丁目駅 209m / 喫茶店、日本茶専門店、和菓子,,完全禁煙
190,ペンギン,https://tabelog.com/tokyo/A1312/A131203/13076208/,, 東あずま駅 53m / 喫茶店,,
191,パルム,https://tabelog.com/tokyo/A1321/A132104/13088389/,3.14, 新井薬師前駅 648m / 喫茶店,,喫煙可
192,ビオ オジヤンカフェ,https://tabelog.com/tokyo/A1306/A130601/13003318/,3.22, 明治神宮前駅 344m / カフェ、和食（その他）、喫茶店,,分煙
193,ピエロ,https://tabelog.com/tokyo/A1324/A132404/13088429/,3, 足立区 / 喫茶店,,
194,ウオールナット,https://tabelog.com/tokyo/A1330/A133003/13075818/,3.08, 二俣尾駅 99m / 喫茶店,,
195,モトコ,https://tabelog.com/tokyo/A1328/A132804/13146099/,3.02, 一橋学園駅 635m / 喫茶店,,
196,高久,https://tabelog.com/tokyo/A1302/A130204/13059083/,3.36, 人形町駅 155m / 喫茶店、サンドイッチ、ケーキ,,完全禁煙
197,静,https://tabelog.com/tokyo/A1322/A132203/13089326/,3.01, 上板橋駅 171m / 喫茶店,,
198,カフェ・ベローチェ 飯田橋駅東口店,https://tabelog.com/tokyo/A1309/A130905/13100772/,3.08, 飯田橋駅 117m / カフェ、コーヒー専門店、喫茶店,,分煙
199,ライト,https://tabelog.com/tokyo/A1324/A132404/13076304/,3.05, 五反野駅 170m / 喫茶店,,喫煙可
200,リーベ,https://tabelog.com/tokyo/A1311/A131101/13088885/,3.06, 仲御徒町駅 516m / 喫茶店,,
201,陶くん房,https://tabelog.com/tokyo/A1326/A132601/13089422/,3.03, 西調布駅 66m / 喫茶店,,
202,フレッシュネスバーガー ららぽーと豊洲店,https://tabelog.com/tokyo/A1313/A131307/13151502/,3.05, 豊洲駅 345m / ハンバーガー、カフェ、喫茶店,,完全禁煙
203,ジァン,https://tabelog.com/tokyo/A1311/A131104/13155190/,3.11, 入谷駅 218m / 喫茶店、サンドイッチ,,
204,チズ,https://tabelog.com/tokyo/A1311/A131106/13087171/,3.04, 千駄木駅 141m / 喫茶店,,
205,スターバックスコーヒー ららぽーと豊洲シーサイドデッキ店,https://tabelog.com/tokyo/A1313/A131307/13181150/,3.04, 豊洲駅 299m / 喫茶店,,完全禁煙
206,クラウン,https://tabelog.com/tokyo/A1321/A132104/13050244/,3.04, 沼袋駅 123m / 喫茶店、パン,,喫煙可
207,喫茶室ルノアール 新宿区役所横店,https://tabelog.com/tokyo/A1304/A130401/13116914/,3.03, 西武新宿駅 362m / 喫茶店,,分煙
208,カフェドゥワゾー,https://tabelog.com/tokyo/A1319/A131905/13011884/,3.38, 阿佐ケ谷駅 684m / 喫茶店,,完全禁煙
209,ことり珈琲店,https://tabelog.com/tokyo/A1317/A131715/13192031/,3.1, 世田谷区 / 喫茶店,,
210,ルル,https://tabelog.com/tokyo/A1323/A132303/13076342/,, 宮ノ前駅 190m / 喫茶店,,
211,アザミ,https://tabelog.com/tokyo/A1319/A131902/13012845/,3.69, 中野駅 245m / 喫茶店、洋食、カフェ,,完全禁煙
212,MOKU,https://tabelog.com/tokyo/A1318/A131813/13107014/,, 千歳船橋駅 183m / 喫茶店,,
213,あざみ,https://tabelog.com/tokyo/A1324/A132401/13087255/,, 三ノ輪橋駅 257m / 喫茶店,,
214,コメダ珈琲店 浅草橋駅前店,https://tabelog.com/tokyo/A1311/A131103/13189604/,3.09, 浅草橋駅 128m / 喫茶店、コーヒー専門店,,分煙
215,サニー,https://tabelog.com/tokyo/A1324/A132404/13075980/,3.06, 足立区 / 喫茶店,,
216,南蛮屋 樹 下高井戸店,https://tabelog.com/tokyo/A1318/A131809/13111289/,3.01, 下高井戸駅 291m / 喫茶店,,
217,OGA BAR by 小笠原伯爵邸 ,https://tabelog.com/tokyo/A1305/A130504/13050639/,3.47, 若松河田駅 103m / カフェ、バー、喫茶店,,
218,サントス,https://tabelog.com/tokyo/A1321/A132101/13075988/,3, 新桜台駅 132m / 喫茶店,,
219,テイアンドシイ,https://tabelog.com/tokyo/A1312/A131202/13087215/,3.04, 平井駅 125m / 喫茶店,,
220,喫茶室ルノアール 渋谷宮下公園店,https://tabelog.com/tokyo/A1303/A130301/13129785/,3.03, 渋谷駅 367m / 喫茶店,,分煙
221,ラウンジ欅,https://tabelog.com/tokyo/A1319/A131903/13079207/,3.17, 中野坂上駅 183m / 喫茶店,,
222,ベルコーヒー,https://tabelog.com/tokyo/A1302/A130203/13076206/,3.16, 八丁堀駅 180m / 喫茶店,,喫煙可
223,フレッシュネスバーガー 曙橋店,https://tabelog.com/tokyo/A1309/A130903/13104746/,3.05, 曙橋駅 86m / ハンバーガー、カフェ、喫茶店,,分煙
224,カツラ,https://tabelog.com/tokyo/A1311/A131101/13087563/,3.22, 上野駅 514m / 喫茶店、コーヒー専門店、カフェ,,喫煙可
225,カヤバ珈琲,https://tabelog.com/tokyo/A1311/A131104/13019585/,3.67, 根津駅 617m / 喫茶店、カフェ、かき氷,,分煙
226,カフェルームサン,https://tabelog.com/tokyo/A1331/A133101/13138459/,3.02, 大島町 / 喫茶店,,
227,カトリネツト,https://tabelog.com/tokyo/A1312/A131204/13087523/,3, 新小岩駅 508m / 喫茶店,,
228,NHK放送技術研究所 喫茶コーナー,https://tabelog.com/tokyo/A1318/A131814/13187238/,3.06, 世田谷区 / 喫茶店,,完全禁煙
229,カフェ・ル・ブレ,https://tabelog.com/tokyo/A1320/A132002/13104203/,3.07, 武蔵野市 / パン、喫茶店,,完全禁煙
230,密蜂コーヒー専門 高田馬場店,https://tabelog.com/tokyo/A1305/A130502/13087075/,3, 学習院下駅 326m / コーヒー専門店、喫茶店,,喫煙可
231,cafe Canaan,https://tabelog.com/tokyo/A1318/A131802/13036249/,3.08, 下北沢駅 179m / 喫茶店,,
232,茶寮 結 靖国神社店,https://tabelog.com/tokyo/A1309/A130905/13055768/,3.2, 市ケ谷駅 680m / 喫茶店、カレーライス、うどん,,分煙
233,霞ガーデン ,https://tabelog.com/tokyo/A1308/A130801/13078648/,3.17, 桜田門駅 431m / 喫茶店、洋食,,完全禁煙
234,コーヒーショップシルク,https://tabelog.com/tokyo/A1311/A131102/13190463/,3.06, 浅草（東武・都営・メトロ）駅 192m / 喫茶店、コーヒー専門店,,分煙
235,レストランパティオ,https://tabelog.com/tokyo/A1314/A131401/13048126/,3.27, 御成門駅 335m / 洋食、喫茶店,,完全禁煙
236,ラズベリー,https://tabelog.com/tokyo/A1319/A131907/13088865/,3.04, 西荻窪駅 273m / 喫茶店,,
237,えかったハウス,https://tabelog.com/tokyo/A1320/A132002/13194245/,3.02, 三鷹駅 906m / カレーライス、喫茶店,,完全禁煙
238,一保堂茶舗 喫茶室 嘉木 東京丸の内店,https://tabelog.com/tokyo/A1301/A130102/13120271/,3.48, 有楽町駅 284m / 日本茶専門店、喫茶店、和菓子,,完全禁煙
239,珈琲館 清瀬店,https://tabelog.com/tokyo/A1328/A132803/13093001/,3.01, 清瀬駅 113m / 喫茶店,,完全禁煙
240,レイン オン ザ ルーフ,https://tabelog.com/tokyo/A1317/A131706/13037998/,3.34, 三軒茶屋駅 237m / カフェ、ケーキ、喫茶店,,喫煙可
241,TOPS,https://tabelog.com/tokyo/A1324/A132404/13166081/,3.07, 綾瀬駅 87m / 喫茶店、カフェ、オムライス,,喫煙可
242,カフェ マグノリア,https://tabelog.com/tokyo/A1320/A132002/13010022/,3.11, 三鷹駅 446m / レストラン（その他）、コーヒー専門店、喫茶店,,分煙
243,ポポー,https://tabelog.com/tokyo/A1304/A130401/13088644/,, 西武新宿駅 147m / 喫茶店,,
244,キャンドル,https://tabelog.com/tokyo/A1314/A131405/13087715/,3.01, 新馬場駅 174m / 喫茶店、定食・食堂、お好み焼き,,喫煙可
245,ナチュラル カフェ ゴエン,https://tabelog.com/tokyo/A1321/A132102/13166529/,3.23, 練馬駅 275m / 自然食、喫茶店、ケーキ,,完全禁煙
246,ぐるうびい,https://tabelog.com/tokyo/A1324/A132403/13087755/,3, 亀有駅 917m / 喫茶店,,
247,糸きりだんご,https://tabelog.com/tokyo/A1320/A132001/13233865/,, 井の頭公園駅 438m / 喫茶店,,
248,カフェモカ,https://tabelog.com/tokyo/A1322/A132205/13087617/,3.26, 板橋区役所前駅 107m / コーヒー専門店、喫茶店,,喫煙可
249,まつもと,https://tabelog.com/tokyo/A1308/A130801/13076242/,3.18, 赤坂駅 569m / 喫茶店,,
250,芝生,https://tabelog.com/tokyo/A1317/A131707/13076424/,3, 駒沢大学駅 943m / 喫茶店,,喫煙可
251,コアン,https://tabelog.com/tokyo/A1317/A131714/13087787/,, 久が原駅 526m / 喫茶店,,
252,コメダ珈琲 新宿御苑前店,https://tabelog.com/tokyo/A1304/A130402/13206471/,3.19, 新宿御苑前駅 295m / 喫茶店,,
253,喫茶室ルノアール 池袋北口駅前店,https://tabelog.com/tokyo/A1305/A130501/13120515/,3.04, 池袋駅 162m / 喫茶店,,分煙
254,紅茶と珈琲の店　山猫亭,https://tabelog.com/tokyo/A1330/A133001/13059349/,3.28, 武蔵五日市駅 113m / 喫茶店、カフェ,,完全禁煙
255,日本橋ロータス,https://tabelog.com/tokyo/A1302/A130202/13076474/,3.19, 日本橋駅 284m / 喫茶店,,
256,ユウザン,https://tabelog.com/tokyo/A1315/A131501/13113793/,3.04, 立会川駅 209m / 喫茶店、サンドイッチ,,喫煙可
257,モグ カフェ,https://tabelog.com/tokyo/A1319/A131902/13174445/,3.07, 新中野駅 210m / カフェ、喫茶店、ピザ,,完全禁煙
258,サウサリート,https://tabelog.com/tokyo/A1317/A131714/13087848/,3, 池上駅 261m / 喫茶店,,
259,Ｋ,https://tabelog.com/tokyo/A1313/A131303/13078884/,3, 清澄白河駅 550m / お好み焼き、喫茶店,,
260,シーニックカフェ,https://tabelog.com/tokyo/A1315/A131504/13117678/,3.2, 羽田空港第２ビル駅 158m / カフェ、サンドイッチ、喫茶店,,完全禁煙
261,レモンハウス,https://tabelog.com/tokyo/A1317/A131701/13156535/,3.17, 中目黒駅 317m / 喫茶店,,喫煙可
262,星乃珈琲店 御茶ノ水店,https://tabelog.com/tokyo/A1310/A131002/13226133/,3.01, 御茶ノ水駅 114m / 喫茶店,,
263,喫茶フレンド,https://tabelog.com/tokyo/A1315/A131501/13184667/,3.06, 鮫洲駅 185m / 喫茶店,,喫煙可
264,木の実,https://tabelog.com/tokyo/A1312/A131204/13037310/,3.27, 小岩駅 217m / 喫茶店,,分煙
265,カフェ・デザール ピコ 調布国領店,https://tabelog.com/tokyo/A1326/A132601/13145347/,3.07, 国領駅 141m / コーヒー専門店、喫茶店、カフェ,,完全禁煙
266,トンボロ,https://tabelog.com/tokyo/A1309/A130905/13006444/,3.47, 神楽坂駅 263m / 喫茶店,,完全禁煙
267,トリニティ,https://tabelog.com/tokyo/A1324/A132404/13107054/,, 足立区 / 喫茶店,,
268,フェニックス,https://tabelog.com/tokyo/A1321/A132102/13147504/,3.11, 練馬駅 502m / 定食・食堂、喫茶店,,喫煙可
269,ぴいぷる,https://tabelog.com/tokyo/A1309/A130901/13088422/,3.13, 北参道駅 284m / 喫茶店,,
270,珈琲 大勝軒,https://tabelog.com/tokyo/A1302/A130204/13049448/,3.21, 人形町駅 169m / 喫茶店,,喫煙可
271,レザン,https://tabelog.com/tokyo/A1323/A132301/13046999/,3.08, 白山駅 432m / 喫茶店,,喫煙可
272,みき,https://tabelog.com/tokyo/A1317/A131712/13088728/,, 戸越公園駅 88m / 喫茶店,,
273,珈琲工房 豆いち,https://tabelog.com/tokyo/A1321/A132104/13011855/,, 鷺ノ宮駅 18m / 喫茶店、コーヒー専門店,,
274,TIME,https://tabelog.com/tokyo/A1309/A130905/13173861/,3.04, 江戸川橋駅 49m / 喫茶店,,
275,はなのき,https://tabelog.com/tokyo/A1304/A130402/13146693/,3.18, 新宿御苑前駅 261m / カフェ、喫茶店、カレーライス,,完全禁煙
276,イトウエン ティー ガーデン セレオ八王子店,https://tabelog.com/tokyo/A1329/A132904/13151134/,3.13, 八王子駅 74m / 紅茶専門店、喫茶店,,
277,ジュピター 動坂店,https://tabelog.com/tokyo/A1323/A132301/13059813/,3.01, 田端駅 598m / 喫茶店、コーヒー専門店,,
278,たんぽぽ,https://tabelog.com/tokyo/A1317/A131716/13100439/,3.08, 下丸子駅 58m / 洋食、カレーライス、喫茶店,,
279,ピース,https://tabelog.com/tokyo/A1304/A130401/13046669/,3.2, 新宿西口駅 141m / 喫茶店、コーヒー専門店、カフェ,,喫煙可
280,かうべる,https://tabelog.com/tokyo/A1322/A132203/13177745/,3.07, 中板橋駅 151m / 喫茶店、パン・サンドイッチ（その他）、ラーメン,,完全禁煙
281,ラ・ムー,https://tabelog.com/tokyo/A1304/A130404/13048655/,3.16, 大久保駅 418m / 喫茶店,,喫煙可
282,星乃珈琲店 練馬田柄店,https://tabelog.com/tokyo/A1322/A132204/13193484/,3.01, 地下鉄赤塚駅 666m / 喫茶店,,分煙
283,和木,https://tabelog.com/tokyo/A1323/A132303/13193456/,, 宮ノ前駅 474m / 喫茶店、居酒屋,,
284,ピボット,https://tabelog.com/tokyo/A1317/A131713/13088462/,, 西馬込駅 996m / 喫茶店,,
285,フオーテイー,https://tabelog.com/tokyo/A1312/A131204/13088506/,, 小岩駅 764m / 喫茶店,,
286,ランチハウス,https://tabelog.com/tokyo/A1319/A131907/13109247/,3.08, 西荻窪駅 566m / 鉄板焼き、喫茶店、洋食,,分煙
287,ナナズ グリーン ティー ルミネ北千住店,https://tabelog.com/tokyo/A1324/A132402/13093619/,3.14, 北千住駅 3m / カフェ、喫茶店、日本茶専門店,,完全禁煙
288,おいしい水,https://tabelog.com/tokyo/A1324/A132401/13179068/,3, 新三河島駅 105m / 喫茶店,,喫煙可
289,ひまわり,https://tabelog.com/tokyo/A1311/A131101/13088466/,3.07, 上野駅 280m / 喫茶店,,
290,名曲喫茶カデンツァ,https://tabelog.com/tokyo/A1310/A131004/13132585/,3.27, 本郷三丁目駅 196m / 喫茶店,,完全禁煙
291,未知,https://tabelog.com/tokyo/A1309/A130905/13206908/,3.02, 江戸川橋駅 621m / 喫茶店,,
292,レストラン椿,https://tabelog.com/tokyo/A1304/A130404/13113987/,3.24, 大久保駅 445m / 定食・食堂、居酒屋、喫茶店,,
293,ロニーズ,https://tabelog.com/tokyo/A1319/A131907/13115012/,3.07, 西荻窪駅 67m / バー、カフェ、喫茶店,,喫煙可
294,グーテ・ド・ママン,https://tabelog.com/tokyo/A1314/A131402/13007218/,3.59, 三田駅 669m / ケーキ、喫茶店,,
295,ボギー,https://tabelog.com/tokyo/A1323/A132302/13088625/,3.06, 大塚駅前駅 263m / 喫茶店,,喫煙可
296,ベラミ,https://tabelog.com/tokyo/A1306/A130601/13058121/,3.18, 北参道駅 528m / 喫茶店,,喫煙可
297,フレッシュネスバーガー 狛江店,https://tabelog.com/tokyo/A1326/A132603/13136358/,3.04, 狛江駅 53m / ハンバーガー、カフェ、喫茶店,,分煙
298,ぽえむ 日本橋店,https://tabelog.com/tokyo/A1302/A130204/13086975/,3.07, 水天宮前駅 360m / 喫茶店,,喫煙可
299,米本珈琲 神田店,https://tabelog.com/tokyo/A1310/A131002/13123440/,3.18, 小川町駅 388m / 喫茶店,,分煙
300,キュアネ,https://tabelog.com/tokyo/A1328/A132804/13113202/,3.07, 鷹の台駅 436m / ケーキ、喫茶店,,
301,cafe まがり木,https://tabelog.com/tokyo/A1328/A132802/13220788/,, 東久留米駅 824m / 喫茶店、カフェ,,
302,ケララの風モーニング,https://tabelog.com/tokyo/A1315/A131502/13230241/,3.44, 大森駅 492m / インド料理、喫茶店,,完全禁煙
303,イノウエ,https://tabelog.com/tokyo/A1313/A131301/13087373/,3.04, 新富町駅 209m / 喫茶店、カフェ,,喫煙可
304,珈琲茶館 集 原宿表参道店,https://tabelog.com/tokyo/A1306/A130601/13045118/,3.14, 明治神宮前駅 31m / 喫茶店、コーヒー専門店,,分煙
305,ドトールコーヒーショップ 東武浅草北口店,https://tabelog.com/tokyo/A1311/A131102/13086886/,3.02, 浅草（東武・都営・メトロ）駅 329m / 喫茶店、カフェ,,分煙
306,カフェ　サリダ,https://tabelog.com/tokyo/A1313/A131303/13137548/,3.07, 南砂町駅 240m / 喫茶店、レストラン（その他）,,分煙
307,喫茶　アルプス,https://tabelog.com/tokyo/A1302/A130204/13169469/,3.15, 馬喰横山駅 93m / 喫茶店,,喫煙可
308,まめのき,https://tabelog.com/tokyo/A1322/A132202/13151330/,3.04, 要町駅 109m / カフェ、喫茶店,,完全禁煙
309,ドトールコーヒーショップ 湯島春日通り店,https://tabelog.com/tokyo/A1311/A131101/13053927/,3.04, 湯島駅 143m / カフェ、コーヒー専門店、喫茶店,,分煙
310,シャレード,https://tabelog.com/tokyo/A1311/A131103/13087941/,3.18, 蔵前駅 97m / 喫茶店,,
311,星乃珈琲店 阿佐ヶ谷店,https://tabelog.com/tokyo/A1319/A131905/13164236/,3.09, 阿佐ケ谷駅 148m / カフェ、喫茶店、パンケーキ,,分煙
312,ラタン,https://tabelog.com/tokyo/A1305/A130503/13226339/,3.02, 高田馬場駅 289m / 喫茶店,,喫煙可
313,茶房 きん魚,https://tabelog.com/tokyo/A1311/A131104/13200360/,3, 入谷駅 206m / 喫茶店、甘味処,,喫煙可
314,ムラリ,https://tabelog.com/tokyo/A1329/A132902/13095325/,3.22, 中神駅 218m / ケーキ、喫茶店,,完全禁煙
315,ラ・バンボッシュ 錦糸町店,https://tabelog.com/tokyo/A1312/A131201/13002959/,3.51, 錦糸町駅 371m / ケーキ、喫茶店,,喫煙可
316,はな,https://tabelog.com/tokyo/A1312/A131203/13088361/,3.08, 曳舟駅 614m / 喫茶店,,
317,珈琲立吉 ,https://tabelog.com/tokyo/A1320/A132001/13037942/,3.18, 吉祥寺駅 246m / コーヒー専門店、喫茶店,,喫煙可
318,マガジン,https://tabelog.com/tokyo/A1324/A132404/13088684/,3, 足立区 / 喫茶店,,
319,Cafe Miyama 中野ブロードウェイ店,https://tabelog.com/tokyo/A1319/A131902/13021876/,3.2, 中野駅 336m / カフェ、喫茶店,,分煙
320,ドール,https://tabelog.com/tokyo/A1317/A131710/13088219/,, 西小山駅 201m / 喫茶店,,
321,ダフネ,https://tabelog.com/tokyo/A1305/A130502/13076051/,3.11, 目白駅 82m / 喫茶店、カフェ,,
322,エンゼル,https://tabelog.com/tokyo/A1312/A131204/13087457/,3, 新小岩駅 763m / 喫茶店,,喫煙可
323,モト,https://tabelog.com/tokyo/A1314/A131401/13088795/,3.2, 大門駅 161m / 喫茶店,,
324,ハーモニー,https://tabelog.com/tokyo/A1310/A131004/13150016/,3.07, 本郷三丁目駅 553m / 洋食、喫茶店,,
325,アンアン,https://tabelog.com/tokyo/A1326/A132602/13075802/,, 分倍河原駅 41m / 喫茶店,,
326,横濱屋,https://tabelog.com/tokyo/A1307/A130704/13039935/,3.48, 神谷町駅 356m / 喫茶店、ハヤシライス,,喫煙可
327,ぱんぷきん,https://tabelog.com/tokyo/A1324/A132403/13134588/,3, 京成立石駅 279m / 喫茶店,,
328,くりこま,https://tabelog.com/tokyo/A1303/A130302/13075929/,, 恵比寿駅 744m / 喫茶店,,
329,ワンガン ズー アドベンチャー,https://tabelog.com/tokyo/A1313/A131302/13180954/,3, 勝どき駅 323m / カフェ、喫茶店、カフェ・喫茶（その他）,,
330,珊瑚,https://tabelog.com/tokyo/A1312/A131203/13087901/,3.01, 東向島駅 385m / 喫茶店,,
331,ドトールコーヒーショップ 学芸大学西口店,https://tabelog.com/tokyo/A1317/A131702/13102246/,3.03, 学芸大学駅 51m / カフェ、喫茶店、サンドイッチ,,分煙
332,珈琲店トップ 渋谷駅前店,https://tabelog.com/tokyo/A1303/A130301/13042836/,3.43, 渋谷駅 181m / 喫茶店、コーヒー専門店,,喫煙可
333,カフェラメール,https://tabelog.com/tokyo/A1327/A132701/13075898/,, つくし野駅 107m / 喫茶店,,
334,ドリアン,https://tabelog.com/tokyo/A1314/A131401/13088244/,3.04, 御成門駅 346m / 喫茶店,,喫煙可
335,星乃珈琲店 スフレ館 新宿東口店,https://tabelog.com/tokyo/A1304/A130401/13151165/,3.09, 新宿駅 160m / 喫茶店、パンケーキ,,分煙
336,カフェド・アイ,https://tabelog.com/tokyo/A1302/A130204/13075886/,, 馬喰町駅 185m / 喫茶店,,
337,オンリー,https://tabelog.com/tokyo/A1311/A131102/13075849/,3.4, 浅草（つくばＥＸＰ）駅 285m / 喫茶店,,喫煙可
338,喫茶 穂高,https://tabelog.com/tokyo/A1310/A131002/13006537/,3.4, 御茶ノ水駅 28m / 喫茶店,,完全禁煙
339,KENT,https://tabelog.com/tokyo/A1327/A132701/13108324/,3.15, 町田駅 332m / レストラン（その他）、喫茶店、パブ,,喫煙可
340,M i C A R O,https://tabelog.com/tokyo/A1310/A131002/13094946/,3.18, 神田駅 399m / カフェ、喫茶店、バー,,分煙
341,パークサイド,https://tabelog.com/tokyo/A1321/A132103/13088318/,, 石神井公園駅 806m / 喫茶店,,
342,無伴奏,https://tabelog.com/tokyo/A1325/A132503/13156800/,3.03, 国立駅 389m / 喫茶店、定食・食堂、オムライス,,
343,宮越屋珈琲 町田店,https://tabelog.com/tokyo/A1327/A132701/13117196/,3.23, 町田駅 222m / 喫茶店、コーヒー専門店、カフェ,,分煙
344,丸福珈琲店 東急百貨店・渋谷本店,https://tabelog.com/tokyo/A1303/A130301/13201362/,3.03, 神泉駅 460m / 喫茶店,,完全禁煙
345,ママリンゴ,https://tabelog.com/tokyo/A1324/A132401/13088704/,, 町屋駅前駅 580m / 喫茶店,,
346,NOZY COFFEE 三宿店,https://tabelog.com/tokyo/A1317/A131706/13114599/,3.61, 三軒茶屋駅 742m / コーヒー専門店、喫茶店,,完全禁煙
347,クールカフェ 究極ハンバーグと鉄板フレンチトーストのお店,https://tabelog.com/tokyo/A1323/A132303/13188584/,3.15, 荒川車庫前駅 107m / 喫茶店、ハンバーグ、ダイニングバー,,分煙
348,物豆奇,https://tabelog.com/tokyo/A1319/A131907/13012925/,3.51, 西荻窪駅 299m / 喫茶店,,完全禁煙
349,エリカ,https://tabelog.com/tokyo/A1324/A132404/13233198/,, 竹ノ塚駅 560m / 喫茶店,,
350,カフェ ウィーン 三越日本橋店,https://tabelog.com/tokyo/A1302/A130202/13011194/,3.45, 三越前駅 31m / 喫茶店、カフェ、ケーキ,,完全禁煙
351,喫茶TANTAN,https://tabelog.com/tokyo/A1323/A132301/13160381/,3.08, 本駒込駅 136m / 喫茶店,,
352,aunt,https://tabelog.com/tokyo/A1305/A130504/13154271/,3.15, 面影橋駅 317m / 和食（その他）、喫茶店、カフェ,,
353,マーガレット,https://tabelog.com/tokyo/A1305/A130501/13076231/,3.08, 東池袋駅 65m / 喫茶店,,喫煙可
354,レストラン不二,https://tabelog.com/tokyo/A1312/A131202/13101822/,3, 西大島駅 807m / レストラン（その他）、喫茶店,,
355,月波珈琲店＆bar,https://tabelog.com/tokyo/A1320/A132001/13161730/,3.25, 吉祥寺駅 442m / 喫茶店、バー,,完全禁煙
356,ステップ,https://tabelog.com/tokyo/A1305/A130504/13214488/,3.14, 西早稲田駅 51m / 喫茶店、オムライス、カフェ・喫茶（その他）,,完全禁煙
357,東都コーヒー 佐賀町店,https://tabelog.com/tokyo/A1313/A131303/13087065/,3.16, 門前仲町駅 720m / 喫茶店,,喫煙可
358,音楽喫茶・夢,https://tabelog.com/tokyo/A1329/A132904/13076379/,, 西八王子駅 915m / 喫茶店,,
359,グリーン,https://tabelog.com/tokyo/A1313/A131303/13075926/,, 南砂町駅 948m / 喫茶店,,
360,ワンパット,https://tabelog.com/tokyo/A1329/A132903/13076367/,, 日野駅 813m / 喫茶店,,
361,元町珈琲 石神井公園の離れ,https://tabelog.com/tokyo/A1321/A132103/13160876/,3.14, 石神井公園駅 250m / 喫茶店、カフェ、パスタ,,分煙
362,みかさ,https://tabelog.com/tokyo/A1323/A132304/13161585/,3.04, 東十条駅 167m / 喫茶店,,喫煙可
363,遊,https://tabelog.com/tokyo/A1320/A132003/13089542/,, 三鷹市 / 喫茶店,,
364,茶房木偶,https://tabelog.com/tokyo/A1330/A133002/13160190/,, 東秋留駅 990m / 喫茶店,,喫煙可
365,珈琲 散歩,https://tabelog.com/tokyo/A1320/A132001/13005781/,3.52, 吉祥寺駅 602m / コーヒー専門店、喫茶店,,完全禁煙
366,待夢,https://tabelog.com/tokyo/A1328/A132804/13089347/,3.04, 小川駅 113m / 喫茶店,,
